C1:1
C11:1
C2:1
C3:1
C4:1
C48:1
C49:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D17:1
D2:1
D3:1
D4:1
FOX1:1
H3:1
H4:1
H5:1
H6:1
J1:1
J2:1
J5:1
J6:1
Q7:1
Q8:1
R1:1
R11:1
R2:1
R27:1
R28:1
R29:1
R3:1
R30:1
R67:1
R68:1
R82:1
TP1:1
TP2:1
U1:1
U2:1
U21:1
U8:1
U9:1
X2:1
